id,num_sold
230130,541.22473
230131,698.76794
230132,574.065
230133,319.43573
230134,375.0182
230135,386.7428
230136,1445.211
230137,1191.8748
230138,648.3513
230139,749.5841
230140,306.84323
230141,1706.1774
230142,1406.9747
230143,768.6737
230144,892.29205
230145,107.77019
230146,696.32806
230147,573.08594
230148,311.25217
230149,362.82425
230150,199.21211
230151,1429.3353
230152,1177.4344
230153,643.86
230154,744.0128
230155,239.04247
230156,1704.5018
230157,1387.9567
230158,763.3889
230159,887.55884
230160,74.95183
230161,513.134
230162,418.17712
230163,226.21686
230164,263.72397
230165,147.12315
230166,1035.9734
230167,854.2891
230168,468.61115
230169,539.6668
230170,175.32172
230171,1233.381
230172,1015.3522
230173,561.69073
230174,646.1195
230175,519.8066
230176,38.701935
230177,38.701935
230178,38.763115
230179,38.701935
230180,282.92578
230181,44.507996
230182,39.232594
230183,38.701935
230184,38.701935
230185,145.37292
230186,48.7854
230187,43.48886
230188,38.701935
230189,38.701935
230190,197.82541
230191,1345.347
230192,1104.8595
230193,602.37036
230194,701.4188
230195,383.7132
230196,2714.9973
230197,2234.0024
230198,1231.0238
230199,1434.3905
230200,449.86865
230201,3188.9473
230202,2641.5315
230203,1449.3901
230204,1690.7201
230205,117.856064
230206,810.54114
230207,667.46906
230208,363.29807
230209,427.08514
230210,233.94795
230211,1660.986
230212,1376.3025
230213,751.84204
230214,870.871
230215,280.01654
230216,1956.8693
230217,1614.0219
230218,884.4282
230219,1021.70667
230220,541.22473
230221,698.76794
230222,574.065
230223,319.43573
230224,375.0182
230225,386.7428
230226,1445.211
230227,1191.8748
230228,648.3513
230229,749.5841
230230,306.84323
230231,1706.1774
230232,1406.9747
230233,768.6737
230234,892.29205
230235,107.77019
230236,696.32806
230237,573.08594
230238,311.25217
230239,362.82425
230240,199.21211
230241,1429.3353
230242,1177.4344
230243,643.86
230244,744.0128
230245,239.04247
230246,1704.5018
230247,1387.9567
230248,763.3889
230249,887.55884
230250,74.951836
230251,513.134
230252,418.17712
230253,226.21686
230254,263.72397
230255,147.12315
230256,1035.9733
230257,854.2892
230258,468.61115
230259,539.6668
230260,175.32172
230261,1233.381
230262,1015.3522
230263,561.69073
230264,646.1195
230265,519.8066
230266,38.701935
230267,38.701935
230268,38.763115
230269,38.701935
230270,282.92578
230271,44.507996
230272,39.232594
230273,38.701935
230274,38.701935
230275,145.37292
230276,48.7854
230277,43.48886
230278,38.701935
230279,38.701935
230280,197.82541
230281,1345.347
230282,1104.8595
230283,602.37036
230284,701.4188
230285,383.7132
230286,2714.9973
230287,2234.0024
230288,1231.0238
230289,1434.3905
230290,449.86865
230291,3188.9473
230292,2641.5315
230293,1449.3901
230294,1690.7201
230295,117.856064
230296,810.54114
230297,667.46906
230298,363.29807
230299,427.08514
230300,233.94795
230301,1660.986
230302,1376.3025
230303,751.84204
230304,870.871
230305,280.01654
230306,1956.8693
230307,1614.0219
230308,884.4282
230309,1021.70667
230310,541.22473
230311,698.76794
230312,574.065
230313,319.43573
230314,375.0182
230315,386.7428
230316,1445.211
230317,1191.8748
230318,648.3513
230319,749.5841
230320,306.84323
230321,1706.1771
230322,1406.9747
230323,768.6737
230324,892.29205
230325,107.77019
230326,696.32806
230327,573.08594
230328,311.25217
230329,362.82425
230330,199.21211
230331,1429.3353
230332,1177.4344
230333,643.86
230334,744.0128
230335,239.04247
230336,1704.5018
230337,1387.9567
230338,763.3889
230339,887.55884
230340,74.951836
230341,513.134
230342,418.17712
230343,226.21686
230344,263.72397
230345,147.12315
230346,1035.9734
230347,854.2891
230348,468.61115
230349,539.6668
230350,175.32172
230351,1233.381
230352,1015.3521
230353,561.6907
230354,646.1195
230355,519.8066
230356,38.701935
230357,38.701935
230358,38.763115
230359,38.701935
230360,282.92578
230361,44.507996
230362,39.232594
230363,38.701935
230364,38.701935
230365,145.37292
230366,48.7854
230367,43.48886
230368,38.701935
230369,38.701935
230370,197.82541
230371,1345.347
230372,1104.8595
230373,602.37036
230374,701.4188
230375,383.7132
230376,2714.9973
230377,2234.0024
230378,1231.0238
230379,1434.3905
230380,449.86865
230381,3188.9473
230382,2641.5315
230383,1449.3901
230384,1690.7201
230385,117.856064
230386,810.54114
230387,667.46906
230388,363.29807
230389,427.08514
230390,233.94795
230391,1660.986
230392,1376.3025
230393,751.84204
230394,870.871
230395,280.01654
230396,1956.8693
230397,1614.0219
230398,884.4282
230399,1021.70667
230400,541.22473
230401,698.76794
230402,574.065
230403,319.43573
230404,375.0182
230405,386.7428
230406,1445.211
230407,1191.8748
230408,648.3513
230409,749.5841
230410,306.84323
230411,1706.1774
230412,1406.9747
230413,768.6737
230414,892.29205
230415,107.77019
230416,696.3281
230417,573.08594
230418,311.25217
230419,362.82425
230420,199.21211
230421,1429.3353
230422,1177.4344
230423,643.86
230424,744.0128
230425,239.04247
230426,1704.5018
230427,1387.9567
230428,763.3889
230429,887.55884
230430,74.951836
230431,513.134
230432,418.17712
230433,226.21686
230434,263.72397
230435,147.12315
230436,1035.9734
230437,854.2891
230438,468.61115
230439,539.6668
230440,175.32172
230441,1233.381
230442,1015.3522
230443,561.69073
230444,646.1195
230445,519.8066
230446,38.701935
230447,38.701935
230448,38.76312
230449,38.701935
230450,282.92578
230451,44.507996
230452,39.232594
230453,38.701935
230454,38.701935
230455,145.37292
230456,48.7854
